date,date_format,open,close
"Dec 28, 2015",20151128,22151.73,21919.62
"Dec 24, 2015",20151124,22207.82,22138.13
"Dec 23, 2015",20151123,21869.4,22040.59
"Dec 22, 2015",20151122,21846.9,21830.02
"Dec 21, 2015",20151121,21641.17,21791.68
"Dec 18, 2015",20151118,21656.56,21755.56
"Dec 17, 2015",20151117,21841.09,21872.06
"Dec 16, 2015",20151116,21557.73,21701.21
"Dec 15, 2015",20151115,21215.54,21274.37
"Dec 14, 2015",20151114,21063.28,21309.85
"Dec 11, 2015",20151111,21719.17,21464.05
"Dec 10, 2015",20151110,21714.23,21704.61
"Dec 9, 2015",20151109,21773.77,21803.76
"Dec 8, 2015",20151108,22058.55,21905.13
"Dec 7, 2015",20151107,22336.32,22203.22
"Dec 4, 2015",20151104,22142.11,22235.89
"Dec 3, 2015",20151103,22327.04,22417.01
"Dec 2, 2015",20151102,22471.35,22479.69
"Dec 1, 2015",20151101,22197.81,22381.35
"Nov 30, 2015",20151130,21974.81,21996.42
"Nov 27, 2015",20151127,22555.42,22068.32
"Nov 26, 2015",20151126,22749.6,22488.94
"Nov 25, 2015",20151125,22533.53,22498.0
"Nov 24, 2015",20151124,22593.09,22587.63
"Nov 23, 2015",20151123,22760.05,22665.9
"Nov 20, 2015",20151120,22510.45,22754.72
"Nov 19, 2015",20151119,22423.88,22500.22
"Nov 18, 2015",20151118,22331.77,22188.26
"Nov 17, 2015",20151117,22315.18,22264.25
"Nov 16, 2015",20151116,21958.28,22010.82
"Nov 13, 2015",20151113,22494.09,22396.14
"Nov 12, 2015",20151112,22477.6,22888.92
"Nov 11, 2015",20151111,22394.15,22352.17
"Nov 10, 2015",20151110,22505.7,22401.7
"Nov 9, 2015",20151109,22753.51,22726.77
"Nov 6, 2015",20151106,22914.2,22867.33
"Nov 5, 2015",20151105,23045.1,23051.04
"Nov 4, 2015",20151104,22737.44,23053.57
"Nov 3, 2015",20151103,22603.15,22568.43
"Nov 2, 2015",20151102,22502.28,22370.04
"Oct 30, 2015",20151030,22785.86,22640.04
"Oct 29, 2015",20151029,23054.53,22819.94
"Oct 28, 2015",20151028,23070.7,22956.57
"Oct 27, 2015",20151027,23053.12,23142.73
"Oct 26, 2015",20151026,23423.64,23116.25
"Oct 23, 2015",20151023,23220.38,23151.94
"Oct 22, 2015",20151022,22795.58,22845.37
"Oct 20, 2015",20151020,22991.6,22989.22
"Oct 19, 2015",20151019,23085.61,23075.61
"Oct 16, 2015",20151016,23133.59,23067.37
"Oct 15, 2015",20151015,22667.42,22888.17
