category,,premium,52KH,30avg,jk,52KL,last_update,range,cname,disct,SID,current_price,volumn
PD,,-0.78%,1.887,6812.66万,0.634,0.429,29,14.06,华宝油气,,SZ162411,￥0.634,30.69亿
PD,,-0.50%,1.19,154.78万,0.999,0.888,29,35.43,白银基金,,SZ161226,￥0.995,3.65亿
PD,,0.00%,3.16,1451.49万,2.75,2.10,29,61.42,黄金ETF,,SH518880,￥2.751,44.64亿
EUUS,,-0.43%,1.078,84.18万,0.928,0.78,29,48.66,德国30,,SH513030,￥0.925,2.01亿
EUUS,,13.86%,1.591,127.55万,1.512,1.033,29,86.2,标普500,,SH513500,￥1.514,2.47亿
HK,,-0.55%,1.629,1.79亿,1.046,0.803,29,29.66,H股ETF,,SH510900,￥1.048,111.79亿
CN,,-0.02%,3.845,3.24亿,2.102,1.365,29,29.23,创业板,,SZ159915,￥2.090,52.49亿
CN,,-,3.465,3.50亿,2.28,1.602,29,37.2,50ETF,,SH510050,￥2.295,288.11亿
CN,,0.09%,5.35,1.62亿,3.376,2.357,29,34.55,300ETF,,SH510300,￥3.391,224.00亿
CN,,0.04%,11.99,2436.45万,6.786,1.223,29,51.65,500ETF,,SH510500,￥6.784,194.07亿
CN,,0.22%,6.35,941.31万,4.121,0.562,29,61.63,深100ETF,,SZ159901,￥4.129,44.20亿
HK,,0.00%,1.12,-,1.08,1.05,,42.86,香港中小,,SH501021,￥1.080,4.66亿
PD,,-,0.714,600.64万,0.441,0.331,,28.72,国泰商品,,SZ160216,￥0.441,3.84亿
