category,rate,cname,disct,SID,volumn
,5.372,深成指A,0.44%,SZ150022,23383.79
,5.288,网金融A,-0.04%,SZ150331,1254.31
,5.255,中航军A,0.21%,SZ150221,12490.76
,5.142,煤炭A基,0.25%,SZ150321,132.12
,5.141,互联A级,-0.32%,SZ150297,144.28
,5.083,煤炭A级,0.00%,SZ150289,3914.75
,5.078,钢铁A,-0.62%,SZ150287,2774.6
,5.076,创业股A,0.33%,SZ150303,1497.15
,5.069,军工股A,0.18%,SZ150335,321.5
,5.055,银行股A,0.24%,SZ150299,2893.6
,5.051,银行A份,0.30%,SZ150291,1022.21
,5.049,传媒A级,0.76%,SZ150247,274.35
,5.013,房地产A,-0.56%,SZ150117,3239.01
,5.0,证券股A,0.25%,SZ150301,160.88
