category,premium,52KH,30avg,jk,52KL,range,rate,cname,disct,SID,current_price,volumn
 target 0.75,-15.66%,0.901,3904.95万,0.872,0.701,86.5,5.372,深成指A,0.44%,SZ150022,￥0.874,21.40亿
高值错误,12.78%,1.267,67.77万,1.184,0.988,71.68,5.288,网金融A,-0.04%,SZ150331,￥1.188,6.39亿
高值错误,22.53%,1.324,3634.01万,1.279,1.00,89.2,5.255,中航军A,0.21%,SZ150221,￥1.289,44.35亿
,24.95%,1.39,165.68万,1.312,0.902,86.07,5.142,煤炭A基,0.25%,SZ150321,￥1.322,2.13亿
,6.52%,1.151,143.19万,1.146,1.01,98.58,5.141,互联A级,-0.32%,SZ150297,￥1.149,7611.12万
,7.83%,1.131,339.17万,1.126,0.987,98.61,5.083,煤炭A级,0.00%,SZ150289,￥1.129,4.10亿
,7.93%,1.132,172.50万,1.127,0.789,99.42,5.078,钢铁A,-0.62%,SZ150287,￥1.130,3.43亿
,8.05%,1.135,5191.03万,1.128,0.929,98.54,5.076,创业股A,0.33%,SZ150303,￥1.132,3.20亿
高值错误,8.12%,1.20,70.21万,1.126,1.001,65.83,5.069,军工股A,0.18%,SZ150335,￥1.132,1.39亿
,8.42%,1.138,887.53万,1.128,0.85,98.96,5.055,银行股A,0.24%,SZ150299,￥1.135,3.85亿
,8.50%,1.136,419.77万,1.128,0.853,100.0,5.051,银行A份,0.30%,SZ150291,￥1.136,2.18亿
高值错误,8.56%,1.165,90.10万,1.132,0.815,90.86,5.049,传媒A级,0.76%,SZ150247,￥1.133,1.54亿
,9.31%,1.231,1114.92万,1.141,0.819,78.16,5.013,房地产A,-0.56%,SZ150117,￥1.141,11.48亿
高值错误,9.56%,1.159,238.70万,1.139,0.821,96.45,5.0,证券股A,0.25%,SZ150301,￥1.147,6401.50万
