category,,premium,52KH,30avg,jk,52KL,range,cname,disct,SID,current_price,volumn
军工,,0.00%,1.05,-,1.01,0.953,54.64,军工ETF,,SH512660,￥1.006,5.93亿
证券,,0.00%,1.13,-,1.03,0.996,29.1,证券ETF,,SH512880,￥1.035,4.44亿
医疗,,0.00%,1.10,-,1.07,1.02,53.75,精准医疗,,SH501005,￥1.063,13.11亿
金融地产,,0.36%,7.399,156.74万,5.154,3.225,46.62,金融ETF,,SH510230,￥5.171,32.33亿
金融地产,,0.00%,2.90,667.20万,1.69,1.30,23.94,非银ETF,,SH512070,￥1.683,11.56亿
消费,,-0.98%,2.02,27.87万,1.43,1.00,42.06,消费ETF,,SZ159928,￥1.429,12.31亿
互联网,,-0.29%,1.22,45.93万,1.05,0.77,62.0,中国互联,,SZ164906,￥1.049,5.87亿
红利,,0.49%,8.05,155.45万,2.628,1.77,13.9,红利ETF,,SH510880,￥2.643,6.45亿
红利,,-0.35%,1.66,36.06万,1.183,0.686,50.72,深红利,,SZ159905,￥1.180,1.98亿
政策,,0.00%,1.22,4474.50万,0.915,0.555,54.89,国企改革,,SH502006,￥0.920,3.30亿
